protocol,contract_address,source,file,chain
inline_literal,0x1a389c381a8242b7acff0eb989173cd5d0efc3e3,inline_literal,flamincome.js,unknown
inline_literal,0x1e9dc5d843731d333544e63b2b2082d21ef78ed3,inline_literal,flamincome.js,unknown
inline_literal,0x163d457fa8247f1a9279b9fa8ef513de116e4327,inline_literal,flamincome.js,unknown
inline_literal,0x743bc5cc8f52a84ff6e06e47bc2af5324f5463d6,inline_literal,flamincome.js,unknown
inline_literal,0xb0b3442b632175b0b7d9521291c51060722c4e8c,inline_literal,flamincome.js,unknown
inline_literal,0xa322aea77769666453377cc697fbe4c6390b9942,inline_literal,flamincome.js,unknown
inline_literal,0x5e7b4de4ac8e319fb2ec4bf9fa98192346f8c99b,inline_literal,flamincome.js,unknown
inline_literal,0x681d3261cc6d2a18b59f8b53219b96f06bceeb69,inline_literal,flamincome.js,unknown
inline_literal,0x3f7e3d82bddc28d3eb04f0d0a51e9fc82db581f0,inline_literal,flamincome.js,unknown
inline_literal,0x79a2e8c1120d6b5fbfabd3f7a39cf8473a635742,inline_literal,flamincome.js,unknown
inline_literal,0x483a47247d5cbd420a9c5d2838ec89776ba8b56b,inline_literal,flamincome.js,unknown
inline_literal,0x272c8df3e8068952606046c1389fc1e2320fccfd,inline_literal,flamincome.js,unknown
inline_literal,0x10d0a001eedc62b2a483eb9dfa0bb021ac61d55b,inline_literal,flamincome.js,unknown
inline_literal,0x5390724ca3b0880242c7b1ef08eb9b1abe698c0e,inline_literal,dough-finance.js,unknown
inline_literal,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,inline_literal,dough-finance.js,unknown
inline_literal,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,inline_literal,dough-finance.js,unknown
inline_literal,0x72e95b8931767c79ba4eee721354d6e99a61d004,inline_literal,dough-finance.js,unknown
inline_literal,0xea51d7853eefb32b6ee06b1c12e6dcca88be0ffe,inline_literal,dough-finance.js,unknown
pinyottasContract,0x2861e4d8e26b10029e5cd1d236239f810c664b99,variable_declaration,pinyottas.js,unknown
inline_literal,0xb255d6a720bb7c39fee173ce22113397119cb930,inline_literal,katana-ronin.js,unknown
agaveTokenAddress,0x3a97704a1b25f08aa230ae53b352e2e72ef52843,variable_declaration,agave.js,unknown
agaveStakingContract,0x610525b415c1bfaeab1a3fc3d85d87b92f048221,variable_declaration,agave.js,unknown
addressesProviderRegistryXDAI,0x4baacd04b13523d5e81f398510238e7444e11744,variable_declaration,agave.js,unknown
protocolDataHelper,0x24dcbd376db23e4771375092344f5cbea3541fc0,variable_declaration,agave.js,unknown
addressesProviderRegistryXDAI_old,0xa5e80aeaa020ae41b1cbee75de7826297f7d803e,variable_declaration,agave.js,unknown
protocolDataHelper_old,0xa874f66342a04c24b213bf0715dff18818d24014,variable_declaration,agave.js,unknown
inline_literal,0x8b1522402fece066d83e0f6c97024248be3c8c01,inline_literal,gyro.js,unknown
inline_literal,0x5ca063a7e2bebefeb2bdea42158f5b825f0f9ffb,inline_literal,gyro.js,unknown
inline_literal,0xa5399084a5f06d308c4527517bbb781c4dce887c,inline_literal,gyro.js,unknown
inline_literal,0xe9c178cfdfeb917a46429714e5d51f6d4f296b75,inline_literal,gyro.js,unknown
inline_literal,0x1b239abe619e74232c827fbe5e49a4c072bd869d,inline_literal,gyro.js,unknown
inline_literal,0x31535f7a83083e3f34899f356ecc7246fbf2e82d,inline_literal,jaguarswap.js,unknown
inline_literal,0xad60a8cb60e052196f5b968b4bd4328a67df27d3,inline_literal,jaguarswap.js,unknown
